organism,orgId,carbon_source,media_filename,biomass_flux,status,prediction,missing_compounds,num_missing
Rhodanobacter denitrificans FW104-10B01,rhodanobacter_10B01,D-Tagatose,D---tagatose.json,0.0,optimal,0,"cpd00244,cpd00589",2
Phocaeicola vulgatus CL09T03C04,Bvulgatus_CL09T03C04,L-Leucine,L-Leucine.json,0.0,optimal,0,"cpd11574,cpd00244,cpd00107",3
Burkholderia phytofirmans PsJN,BFirm,Melibiose,Melibiose.json,0.0,optimal,0,"cpd10515,cpd03198",2
Escherichia coli BW25113,Keio,L-Tryptophan,L-Tryptophan.json,0.0,optimal,0,,0
Dyella japonica UNC79MFTsu3.2,Dyella79,L-Phenylalanine,L-Phenylalanine.json,0.0,optimal,0,"cpd00244,cpd00066",2
Dinoroseobacter shibae DFL-12,Dino,Agro_defined_trehalose,Agro_defined_trehalose.json,0.0,optimal,0,"cpd10515,cpd00794",2
Caulobacter crescentus NA1000,Caulo,L-Arabinose,L-Arabinose.json,0.0,optimal,0,"cpd00244,cpd00224",2
Paraburkholderia graminis OAS925,Burkholderia_OAS925,Vanillic Acid,Vanillic_Acid.json,0.0,optimal,0,"cpd10515,cpd04073",2
Azospirillum brasilense Sp245,azobra,Uridine,Uridine.json,0.0,optimal,0,cpd00249,1
Paraburkholderia bryophila 376MFSha3.1,Burk376,Sodium succinate dibasic hexahydrate,Sodium_succinate_dibasic_hexahydrate.json,0.5626955056547673,optimal,1,cpd10515,1
Pseudomonas fluorescens FW300-N1B4,pseudo1_N1B4,m-Inositol,m-Inositol.json,0.0,optimal,0,"cpd10515,cpd00121",2
Pedobacter sp. GW460-11-11-14-LB5,Pedo557,L-Methionine,L-Methionine.json,0.0,optimal,0,"cpd11574,cpd00244,cpd00060",3
Bifidobacterium breve UCC2003,Bifido,"D,L-Malic Acid",DL-Malic_Acid.json,0.0,optimal,0,"cpd10515,cpd11574,cpd00130",3
Bifidobacterium breve UCC2003,Bifido,1-Pentanol,1-Pentanol.json,0.0,optimal,0,"cpd10515,cpd11574,cpd16586",3
Paraburkholderia graminis OAS925,Burkholderia_OAS925,Ferulic Acid,Ferulic_Acid.json,0.0,optimal,0,"cpd10515,cpd01059",2
Dickeya dianthicola ME23,DdiaME23,Sodium D-Lactate,Sodium_D-Lactate.json,0.0,optimal,0,,0
Dinoroseobacter shibae DFL-12,Dino,Pimelic acid,Pimelic_acid.json,0.0,optimal,0,"cpd10515,cpd01727",2
Pseudomonas simiae WCS417,WCS417,D-Glucose,D-Glucose.json,0.844271296756192,optimal,1,,0
Pseudomonas fluorescens FW300-N2E3,pseudo3_N2E3,Potassium acetate,Potassium_acetate.json,0.28142376558519866,optimal,1,,0
Burkholderia phytofirmans PsJN,BFirm,"Sodium D,L-Lactate",Sodium_DL-Lactate.json,0.42202162924107345,optimal,1,cpd10515,1
Pseudomonas stutzeri RCH2,psRCH2,palatinose hydrate,palatinose_hydrate.json,0.0,optimal,0,"cpd10515,cpd01200",2
Dickeya dianthicola 67-19,Ddia6719,L-Arginine,L-Arginine.json,0.7045405673529084,optimal,1,,0
